iter	Passed	Remaining
0	1	140
1	2	130
2	4	138
3	5	124
4	6	119
5	7	124
6	9	120
7	10	117
8	11	115
9	12	113
10	13	111
11	15	113
12	16	110
13	17	108
14	19	109
15	20	107
16	21	106
17	23	104
18	24	102
19	25	100
20	26	99
21	27	97
22	28	95
23	29	94
24	30	92
25	31	90
26	33	89
27	34	88
28	35	87
29	37	86
30	38	85
31	39	83
32	40	82
33	41	80
34	42	79
35	43	78
36	45	76
37	46	75
38	47	73
39	49	73
40	50	72
41	51	70
42	52	69
43	53	67
44	54	66
45	55	65
46	56	63
47	57	62
48	58	61
49	59	59
50	60	58
51	61	57
52	63	56
53	64	55
54	65	53
55	66	52
56	67	51
57	69	50
58	70	48
59	71	47
60	72	46
61	73	45
62	74	44
63	76	42
64	77	41
65	78	40
66	79	39
67	81	38
68	82	36
69	83	35
70	84	34
71	85	33
72	86	32
73	88	30
74	89	29
75	90	28
76	91	27
77	92	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	108	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
